,Varianta,Varianta cumulata,Procent varianta,Procent cumulat
Comp1,4.353316877444586,4.353316877444586,36.277640645371534,36.277640645371534
Comp2,2.868476992179644,7.22179386962423,23.90397493483036,60.18161558020189
Comp3,1.584342912518797,8.806136782143028,13.202857604323302,73.38447318452519
Comp4,0.925697044936798,9.731833827079827,7.71414204113998,81.09861522566517
Comp5,0.6667152163094213,10.398549043389249,5.5559601359118425,86.65457536157702
Comp6,0.5058307470781785,10.904379790467427,4.215256225651486,90.8698315872285
Comp7,0.36871615565620486,11.273095946123632,3.0726346304683725,93.94246621769688
Comp8,0.2804031873820055,11.553499133505637,2.336693228183378,96.27915944588025
Comp9,0.21482902733741427,11.768328160843051,1.7902418944784513,98.06940134035871
Comp10,0.14888608447413532,11.917214245317187,1.2407173706177939,99.3101187109765
Comp11,0.07964864061005399,11.996862885927241,0.6637386717504495,99.97385738272695
Comp12,0.0031371140727644675,12.000000000000005,0.026142617273037218,99.99999999999999
